Accession	Species	Common_Name	Family	Order	File_Path
NC_021425.1	Tetracentron sinense		Trochodendraceae	Trochodendrales	order_genomes/Trochodendrales/NC_021425.1.gb
NC_021426.1	Trochodendron aralioides		Trochodendraceae	Trochodendrales	order_genomes/Trochodendrales/NC_021426.1.gb
