Accession	Species	Common_Name	Family	Order	File_Path
OQ397654.1	Pachysandra terminalis		Buxaceae	Buxales	order_genomes/Buxales/OQ397654.1.gb
NC_073021.1	Pachysandra axillaris		Buxaceae	Buxales	order_genomes/Buxales/NC_073021.1.gb
NC_058304.1	Buxus megistophylla		Buxaceae	Buxales	order_genomes/Buxales/NC_058304.1.gb
NC_009599.1	Buxus microphylla		Buxaceae	Buxales	order_genomes/Buxales/NC_009599.1.gb
OQ236088.1	Buxus sinica var. parvifolia		Buxaceae	Buxales	order_genomes/Buxales/OQ236088.1.gb
