Accession	Species	Common_Name	Family	Order	File_Path
NC_036154.1	Japonolirion osense		Petrosaviaceae	Petrosaviales	order_genomes/Petrosaviales/NC_036154.1.gb
NC_023356.1	Petrosavia stellaris		Petrosaviaceae	Petrosaviales	order_genomes/Petrosaviales/NC_023356.1.gb
