Accession	Species	Common_Name	Family	Order	File_Path
PQ768872.1	Dillenia philippinensis		Dilleniaceae	Dilleniales	order_genomes/Dilleniales/PQ768872.1.gb
NC_065058.1	Tetracera sarmentosa		Dilleniaceae	Dilleniales	order_genomes/Dilleniales/NC_065058.1.gb
NC_062798.1	Dillenia turbinata		Dilleniaceae	Dilleniales	order_genomes/Dilleniales/NC_062798.1.gb
NC_042740.1	Dillenia indica		Dilleniaceae	Dilleniales	order_genomes/Dilleniales/NC_042740.1.gb
