Accession	Species	Common_Name	Family	Order	File_Path
NC_063900.1	Perrottetia racemosa		Dipentodontaceae	Huerteales	order_genomes/Huerteales/NC_063900.1.gb
NC_036960.1	Tapiscia sinensis		Tapisciaceae	Huerteales	order_genomes/Huerteales/NC_036960.1.gb
NC_049157.1	Dipentodon sinicus		Dipentodontaceae	Huerteales	order_genomes/Huerteales/NC_049157.1.gb
