Accession	Species	Common_Name	Family	Order	File_Path
PV216845.1	Canella winterana		Canellaceae	Canellales	order_genomes/Canellales/PV216845.1.gb
NC_050985.1	Pseudowintera colorata		Winteraceae	Canellales	order_genomes/Canellales/NC_050985.1.gb
NC_085749.1	Warburgia ugandensis		Canellaceae	Canellales	order_genomes/Canellales/NC_085749.1.gb
NC_050986.1	Tasmannia lanceolata		Winteraceae	Canellales	order_genomes/Canellales/NC_050986.1.gb
NC_008456.1	Drimys granadensis		Winteraceae	Canellales	order_genomes/Canellales/NC_008456.1.gb
