Accession	Species	Common_Name	Family	Order	File_Path
NC_045294.1	Acorus tatarinowii		Acoraceae	Acorales	order_genomes/Acorales/NC_045294.1.gb
NC_026299.1	Acorus gramineus		Acoraceae	Acorales	order_genomes/Acorales/NC_026299.1.gb
NC_010093.1	Acorus calamus var. americanus		Acoraceae	Acorales	order_genomes/Acorales/NC_010093.1.gb
